"RID";"FD";"TD";"KEY";"TP_CDR";"TP_CDR2";"GPRS_UNION";"GEN_TAP_MODE";"TRANSIT_START";"TRANSIT_END";"TRANSIT_PERIOD";"TAP_NOTIFICATION";"TASK_RID";"NUMBER_TYPES"
3684;1609459200;4070908800;"23224.2";463;;1;1;"01:00";"23:59";720;720;;"1,2,3"
4373;1546300800;1609459199;"23225.2";484;;;2;"01:00";"23:59";720;720;;"1,2,3"
4372;1609459200;4070908800;"23225.2";1895;483;1;1;"01:00";"23:59";720;720;;"1,2,3"
2820;1546300800;1585699199;"23226.2";484;;;1;"01:00";"23:59";720;720;;
2819;1585699200;4070908800;"23226.2";1245;463;1;1;"01:00";"23:59";720;720;;"1,2,3"
3763;1546300800;1609459199;"23227.2";484;;;2;"01:00";"23:59";720;720;;
3762;1609459200;4070908800;"23227.2";483;;1;1;"01:00";"23:59";720;720;;"1,2,3"
1625;1546300800;4070908800;"23228.2";463;;1;1;"01:00";"23:59";720;720;;"1,2,3"
3028;1546300800;1585699199;"23229.2";484;;;1;"01:00";"23:59";720;720;;
3027;1585699200;4070908800;"23229.2";1307;483;1;1;"01:00";"23:59";720;720;;"1,2,3"
4921;1546300800;1609459199;"23230.2";484;;1;2;"01:00";"23:59";720;720;;"1,2,3"
4920;1609459200;4070908800;"23230.2";483;;1;1;"00:00";"23:59";720;720;;"1,2,3"
4895;1546300800;1609459199;"23231.2";484;;1;2;"01:00";"23:59";720;720;;"1,2,3"
4894;1609459200;4070908800;"23231.2";483;;1;1;"00:00";"23:59";720;720;;"1,2,3"
4171;1619827200;4070908800;"23232.1";1751;;1;2;;;;720;;"1,2,3"
3913;1546300800;1609459199;"23232.2";484;;;2;"01:00";"23:59";720;720;;
4071;1609459200;1619827199;"23232.2";483;;0;1;"01:00";"23:59";720;720;1029313;"1,2,3"
4070;1619827200;4070908800;"23232.2";1751;483;1;1;"01:00";"23:59";720;720;1029313;"1,2,3"
4126;1546300800;1609459199;"23233.2";484;;;2;"01:00";"23:59";720;720;;"1,2,3"
4125;1609459200;4070908800;"23233.2";1793;463;1;1;"01:00";"23:59";720;720;;"1,2,3"
3631;1546300800;1609459199;"23234.2";484;;;2;"01:00";"23:59";720;720;;
3630;1609459200;4070908800;"23234.2";463;;1;1;"01:00";"23:59";720;720;;"1,2,3"
2830;1546300800;1585699199;"23235.2";484;;;1;"01:00";"23:59";720;720;;
2829;1585699200;4070908800;"23235.2";1245;483;1;1;"01:00";"23:59";720;720;;"1,2,3"
3719;1546300800;1609459199;"23236.2";484;;;2;"01:00";"23:59";720;720;;
3718;1609459200;4070908800;"23236.2";463;;1;1;"01:00";"23:59";720;720;;"1,2,3"
2204;1546300800;1577836799;"23237.2";484;;;1;"01:00";"23:59";720;720;;
2203;1577836800;4070908800;"23237.2";904;463;1;1;"01:00";"23:59";720;720;;"1,2,3"
3994;1546300800;1609459199;"23238.2";484;;;2;"01:00";"23:59";720;720;;
3993;1609459200;4070908800;"23238.2";1738;463;1;1;"01:00";"23:59";720;720;1029374;"1,2,3"
3347;1546300800;1577836799;"23239.2";484;;;1;"01:00";"23:59";720;720;;
3346;1577836800;1861919999;"23239.2";463;;1;1;"01:00";"23:59";720;720;1028527;"1,2,3"
5890;1861920000;4070908800;"23239.2";463;;1;1;"01:00";"23:59";720;720;1028526;"1,2,3"
4457;1546300800;1609459199;"23240.2";484;;;2;"01:00";"23:59";720;720;;"1,2,3"
4456;1609459200;4070908800;"23240.2";1954;483;1;1;"01:00";"23:59";720;720;;"1,2,3"
3667;1546300800;1609459199;"23241.2";484;;;2;"01:00";"23:59";720;720;;
3666;1609459200;4070908800;"23241.2";463;;1;1;"01:00";"23:59";720;720;;"1,2,3"
2973;1585699200;1597920258;"23242.1";1306;483;0;1;"01:00";"23:59";720;;;"1,2,3"
5193;1609459200;4070908800;"23242.1";1306;;1;2;;;;;;"1,2,3"
2971;1546300800;1585699199;"23242.2";484;;;1;"01:00";"23:59";720;720;;
3047;1585699200;1588291199;"23242.2";483;;0;2;;;;720;;"1,2,3"
3998;1588291200;1609459199;"23242.2";1306;483;0;1;;;;720;;"1,2,3"
3997;1609459200;4070908800;"23242.2";1306;483;1;1;"00:00";"23:59";720;720;1029376;"1,2,3"
3767;1546300800;1609459199;"23243.2";484;;;2;"01:00";"23:59";720;720;;
6911;1609459200;1711929599;"23243.2";463;;1;1;"01:00";"23:59";720;720;;"1,2,3"
6914;1711929600;1714521599;"23243.2";463;;1;1;"01:00";"23:59";720;720;;"1,2,3"
6912;1714521600;4070908800;"23243.2";2831;463;1;1;"01:00";"23:59";720;720;;"1,2,3"
2816;1546300800;1585699199;"23244.2";484;;;1;"01:00";"23:59";720;720;;
2815;1585699200;4070908800;"23244.2";1245;483;1;1;"01:00";"23:59";720;720;;"1,2,3"
2664;1546300800;1596239999;"23245.2";484;;;1;"01:00";"23:59";720;720;;
6599;1596240000;4070908800;"23245.2";463;;1;2;"01:00";"23:59";720;720;;"1,2,3"
3504;1546300800;1596239999;"23246.2";484;;;2;"01:00";"23:59";720;720;;
3503;1596240000;4070908800;"23246.2";1550;483;1;1;"01:00";"23:59";720;720;1028901;"1,2,3"
6593;1546300800;4070908800;"23247.2";463;;1;1;"01:00";"23:59";720;720;;"1,2,3"
4149;1546300800;1609459199;"23248.2";484;;;2;"01:00";"23:59";720;720;;"1,2,3"
4148;1609459200;4070908800;"23248.2";1794;483;1;1;"01:00";"23:59";720;720;;"1,2,3"
1646;1546300800;4070908800;"23249.2";463;;1;1;"01:00";"23:59";720;720;;"1,2,3"
4383;1546300800;1609459199;"23250.2";484;;;2;"01:00";"23:59";720;720;;"1,2,3"
4382;1609459200;4070908800;"23250.2";1895;483;1;1;"01:00";"23:59";720;720;;"1,2,3"
3739;1546300800;1609459199;"23251.2";484;;;2;"01:00";"23:59";720;720;;
3738;1609459200;4070908800;"23251.2";463;;1;1;"01:00";"23:59";720;720;;"1,2,3"
2812;1546300800;1585699199;"23252.2";484;;;1;"01:00";"23:59";720;720;;
2811;1585699200;4070908800;"23252.2";1245;483;1;1;"01:00";"23:59";720;720;;"1,2,3"
2994;1546300800;1585699199;"23253.2";484;;;1;"01:00";"23:59";720;720;;
2993;1585699200;4070908800;"23253.2";1307;483;1;1;"01:00";"23:59";720;720;;"1,2,3"
4947;1546300800;1609459199;"23254.2";484;;1;2;"01:00";"23:59";720;720;;"1,2,3"
6693;1609459200;1711929599;"23254.2";463;;1;1;"00:00";"23:59";720;720;;"1,2,3"
6692;1711929600;4070908800;"23254.2";2731;463;1;1;"00:00";"23:59";720;720;;"1,2,3"
3881;1546300800;1607299199;"23255.2";484;;;2;"01:00";"23:59";720;720;;
3880;1607299200;4070908800;"23255.2";1695;483;1;1;"01:00";"23:59";720;720;1029284;"1,2,3"
4967;1546300800;1609459199;"23256.2";484;;1;2;"01:00";"23:59";720;720;;"1,2,3"
4966;1609459200;4070908800;"23256.2";463;;1;1;"00:00";"23:59";720;720;;"1,2,3"
2004;1546300800;1572566399;"23257.2";484;;;1;"01:00";"23:59";720;720;;
2003;1572566400;4070908800;"23257.2";823;483;1;1;"00:00";"23:59";720;720;;"1,2,3"
4615;1546300800;1609459199;"23258.2";484;;1;2;"01:00";"23:59";720;720;;"1,2,3"
4614;1609459200;4070908800;"23258.2";2071;463;1;1;"00:00";"23:59";720;720;;"1,2,3"
4846;1619827200;4070908800;"23259.1";1308;863;1;2;;;;720;;"1,2,3"
3060;1546300800;1588291199;"23259.2";484;;;1;"01:00";"23:59";720;720;;
4847;1588291200;1619827199;"23259.2";1308;863;1;2;;;;720;;"1,2,3"
4837;1546300800;1612137599;"23260.2";484;;1;2;"01:00";"23:59";720;720;;"1,2,3"
4836;1612137600;4070908800;"23260.2";2232;463;1;1;"00:00";"23:59";720;720;;"1,2,3"
